Language	Language(local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Eastern Punjabi	ਪੰਜਾਬੀ	pa	27,778	95,454	413,692	9	21,407	110	1,251	25.72
Gujarati	ગુજરાતી	gu	27,539	75,946	539,023	4	38,110	83	1	21.93
Low Saxon	Plattdüütsch	nds	27,475	75,859	836,997	3	31,001	53	0	34.22
Ido	Ido	io	27,460	41,247	924,479	4	23,639	36	1	5.65
Sicilian	sicilianu	scn	25,836	55,446	764,968	8	28,111	35	1,410	18.12
Bishnupriya Manipuri	বিষ্ণুপ্রিয়া মণিপুরী	bpy	25,081	57,916	811,910	1	17,524	17	49	24.03
Alemannic	Alemannisch	als	23,905	56,276	824,458	8	60,663	93	428	26.86
Bavarian	Boarisch	bar	23,875	95,205	670,145	6	39,693	75	1,233	62.83
Kurdish (Kurmanji)	Kurdî	ku	23,179	59,216	726,395	3	33,954	71	601	29.65
Kannada	ಕನ್ನಡ	kn	22,990	85,830	739,766	4	43,179	261	3,282	64.39
Kurdish (Sorani)	کوردی	ckb	20,826	115,033	592,568	7	29,704	97	787	105.41
Interlingua	interlingua	ia	20,578	32,925	591,919	7	30,110	35	4	6.47
Quechua	Runa Simi	qu	20,374	52,668	666,323	2	19,065	40	0	31.79
Egyptian Arabic	مصرى	arz	17,790	148,858	841,604	5	94,687	102	1,460	306.89
Mongolian	монгол	mn	17,776	59,877	552,696	5	49,939	108	1,445	51.78
Samogitian	žemaitėška	bat-smg	16,227	27,330	358,871	4	17,748	23	109	6.15
Scottish Gaelic	Gàidhlig	gd	14,667	30,956	553,295	4	18,081	29	347	22.05
Walloon	walon	wa	14,513	37,896	339,870	1	14,972	17	2,146	23.28
Neapolitan	Napulitano	nap	14,496	26,353	701,181	1	18,241	24	368	17.8
Sinhalese	සිංහල	si	14,415	66,591	425,893	2	33,591	64	4,523	83.79
Yiddish	ייִדיש	yi	14,282	39,412	545,731	3	29,176	27	1,063	42.87
Buginese	ᨅᨔ ᨕᨘᨁᨗ	bug	14,130	18,627	200,275	0	8,861	17	0	1.09
Amharic	አማርኛ	am	14,091	44,636	357,987	3	25,061	27	1,613	37.69
Min Dong	Mìng-dĕ̤ng-ngṳ̄	cdo	13,520	26,379	72,617	3	12,867	17	2	2.49
Odia	ଓଡ଼ିଆ	or	13,450	58,007	302,443	5	15,657	63	119	57.22
Banyumasan	Basa Banyumasan	map-bms	13,300	27,732	211,310	1	9,818	11	487	8.97
Faroese	føroyskt	fo	12,675	37,839	346,500	2	18,323	39	0	36.09
Mazandarani	مازِرونی	mzn	12,608	27,285	142,311	3	15,474	30	216	7.07
Upper Sorbian	hornjoserbsce	hsb	12,452	31,732	369,213	3	16,591	24	138	27.89
Mingrelian	მარგალური	xmf	12,353	27,504	135,637	2	10,198	26	0	7.42
Maithili	मैथिली	mai	12,259	28,052	140,054	3	4,631	32	54	8.29
Limburgish	Limburgs	li	12,102	60,092	440,302	5	17,599	26	624	115.22
Sakha	саха тыла	sah	11,559	39,256	360,731	3	14,622	31	1,766	52.76
Sanskrit	संस्कृतम्	sa	11,211	51,186	428,064	6	21,398	35	434	106.33
Venetian	vèneto	vec	11,084	33,937	605,178	3	19,924	42	719	75.81
Ilocano	Ilokano	ilo	10,923	46,996	329,451	2	11,271	18	0	76.46
Ossetian	Ирон	os	10,537	40,707	489,413	2	16,586	17	196	98.57
Hill Mari	кырык мары	mrj	10,265	15,158	93,386	0	6,810	15	0	1.4
Fiji Hindi	Fiji Hindi	hif	9,730	29,008	249,457	1	18,661	24	193	33.76
Meadow Mari	олык марий	mhr	9,710	22,401	166,448	2	8,999	20	0	12.69
Bhojpuri	भोजपुरी	bh	9,537	48,084	495,129	2	12,310	25	52	168.22
Emilian-Romagnol	emiliàn e rumagnòl	eml	9,508	28,354	123,859	2	13,976	21	1,839	17.16
Tarantino	tarandíne	roa-tara	9,228	17,256	137,130	1	7,669	9	290	6.01
Pashto	پښتو	ps	8,810	30,851	216,664	1	15,985	50	1,424	43.96
Zazaki	Zazaki	diq	8,728	26,100	405,189	2	16,221	29	215	61.5
Kapampangan	Kapampangan	pam	8,559	18,320	278,702	2	13,901	19	434	19.79
Sindhi	سنڌي	sd	8,396	26,000	98,881	3	8,210	34	0	16.72
Hakka	客家語/Hak-kâ-ngî	hak	8,207	15,966	114,917	0	21,073	26	0	6.43
Northern Sotho	Sesotho sa Leboa	nso	7,824	9,609	39,260	0	3,364	9	0	0.21
Northern Sami	davvisámegiella	se	7,356	17,398	291,253	4	17,432	21	0	31.2
Classical Chinese	文言	zh-classical	7,355	74,587	302,138	4	68,610	87	0	338.48
Central Bicolano	Bikol Central	bcl	7,281	12,268	176,816	0	11,885	21	876	6.76
Acehnese	Acèh	ace	7,219	13,630	114,051	1	15,728	24	0	6.6
